Code Name,Actual Name,Description
item.Ingotred.*.1,Red Alloy Ingot,"Red Alloy is a soft, ductile, highly conductive metal. How conductive? 16 times the conductivity of regular redstone! While it's much too soft to make tools out of, it's easily made into all kinds of wire."
item.Ingotblue.*.1,Blue Alloy Ingot,Blue alloy is one of the most basic building blocks of the Blutricity which empowers most Tier 2 Technology in RedPower2. It is used for most advanced machine blocks and creating Bluetricity Wires.
item.Ingotbrass.*.1,Brass Ingot,"In RedPower, Brass is an alloy of copper and tin. It is used for applications where low friction is required such as tube plumbing and electrical applications."
item.Boulesilicon.*.1,Silicon Boule,A boule is a single-crystal ingot produced from coal and sand in an alloy furnace. A boule of silicon is the starting material for most of the integrated circuits. A semiconductor crystal boule is normally cut with a diamond saw into circular wafers.
item.Waferred.*.1,Red-Doped Wafer,Red-Doped Wafers are used in devices for signal transmission purposes. They allow higher density integrated circuits to be fabricated.
item.Waferblue.*.1,Blue-Doped Wafer,"Blue doping makes the silicon photosensitive, so Blue-Doped Wafers are used in light responding devices like the solar panel."
item.Tinplate.*.1,Tinplate,"An alloy of iron and tin, those plates are used to craft Paint Cans."
tile.basalt.*.1,Basalt,"This block is introduced in RedPower World and makes up volcanos. Harvesting this will give you Basalt Cobblestone, which can be smelted into smooth Basalt."
tile.basaltCobble.*.1,Basalt Cobblestone,The mined version of Basalt. Smelting it will produce regular smooth Basalt.
tile.marble.*.1,Marble,Only for decoration.
item.Ingottin.*.1,Tin Ingot,"Like most ores, Tin Ore can simply be smelted into an ingot in any furnace."
item.Ingotsilver.*.1,Silver Ingot,"Like most ores, Silver Ore can simply be smelted into an ingot in any furnace."
item.Ingotcopper.*.1,Copper Ingot,"Like most ores, Copper Ore can simply be smelted into an ingot in any furnace."
tile.oreTungsten.*.1,Tungsten Ore,A Currently Unused Ore.
item.nikolite.*.1,Nikolite,Used in various electrical crafting recipes.
tile.oretin.*.1,Tin Ore,"Like most ores, Tin Ore can simply be smelted into an ingot in any furnace."
tile.oresilver.*.1,Silver Ore,"Like most ores, Silver Ore can simply be smelted into an ingot in any furnace."
tile.orecopper.*.1,Copper Ore,"Like most ores, Copper Ore can simply be smelted into an ingot in any furnace."
item.voltmeter.*.1,Voltmetert,Right-clicking a blue alloy wire and certain other blulectric devices will display a chat-like message containing the voltage and current running through the wire.
item.btbattery.*.1,battery,"Used to store blulectric energy, this battery is used as a component in Battery Boxes. For now that is it's only purpose, but other applications will surely arise."
tile.rpsolar.0.1,solar panel,"A solar panel is a packaged, connected assembly of solar cells. The solar panel can be used to generate and supply energy for blutricity applications. Because a single solar panel can produce only a limited amount of power, many installations contain several panels."
tile.rpbatbox.6.1,battery box,"An energy net's blulectric surplus will charge the batteries of this block. The energy will be resupplied to other devices when the levels drop. The current charge level of the Box can be checked in the right-click interface but is also shown on the block's texture, so you can estimate your remaining reserve at a quick glance at the block."
tile.rprstube.2304.1,redstone tube," A hybrid between jacketed wire and tube: this tube will act like any other tube in delivering items. You can even apply paint to it. But it also contains some redstone and will transmit redstone signals like a jacketed wire. Thus it will happily connect to other tubes as well as jacketed wire, which is a common way to patch it into other systems. It will not directly connect to red allow wire (use a short jacketed wire if you want it to), but it does connect to vanilla redstone dust."
,,This tube is especially useful to supply redstone signals to machine blocks connected to them without the need to run additional wires.
tile.rpslab.*.1,"Slab
(testing range)","You can cut almost any solid block. First, cut a block vertically by putting the saw above. This will saw it in half, producing two thinner pieces. Full blocks can be cut in half into slabs (1/2 block thickness, slabs can be cut into panels (1/4 block thickness and finally panels can be sliced to covers (1/8 block thickness."
tile.rppanel.*.1,"Panel
(just add 47)","You can cut almost any solid block. First, cut a block vertically by putting the saw above. This will saw it in half, producing two thinner pieces. Full blocks can be cut in half into slabs (1/2 block thickness, slabs can be cut into panels (1/4 block thickness and finally panels can be sliced to covers (1/8 block thickness."
tile.rpcover.*.1,Cover,"You can cut almost any solid block. First, cut a block vertically by putting the saw above. This will saw it in half, producing two thinner pieces. Full blocks can be cut in half into slabs (1/2 block thickness, slabs can be cut into panels (1/4 block thickness and finally panels can be sliced to covers (1/8 block thickness."
tile.rpslabs.*.1, Slab Strip,"When your block has the desired thickness, you can optionally cut it horizontally into strips by placing your saw on the side. While much less effective at protecting wires than covers or panels, strips can prevent unwanted wire connections while maintaining a much lower profile than full-sized covers. They are also useful for decoration, for making stairs, and many other things!"
tile.rppans.*.1,Panel Strip,"When your block has the desired thickness, you can optionally cut it horizontally into strips by placing your saw on the side. While much less effective at protecting wires than covers or panels, strips can prevent unwanted wire connections while maintaining a much lower profile than full-sized covers. They are also useful for decoration, for making stairs, and many other things!"
tile.rpcovs.*.1,Cover Strip,"When your block has the desired thickness, you can optionally cut it horizontally into strips by placing your saw on the side. While much less effective at protecting wires than covers or panels, strips can prevent unwanted wire connections while maintaining a much lower profile than full-sized covers. They are also useful for decoration, for making stairs, and many other things!"
tile.rpslabc.*.1,Slab Corner,"If Strips are still too large, you can cut them down again by placing your saw on the side again. You will receive the apropriate kind of corners."
tile.rppanc.*.1,Panel Corner,"If Strips are still too large, you can cut them down again by placing your saw on the side again. You will receive the apropriate kind of corners."
tile.rpcovc.*.1,Cover Corner,"If Strips are still too large, you can cut them down again by placing your saw on the side again. You will receive the apropriate kind of corners."
tile.rphcov7.*.1,Anticover,"Anticovers are as thick as a block minus a cover (7/8th block a and made from a slab, panel and cover."
tile.rpcov6.*.1,Triple Panel,Triple Panels are three times as thick as a panel (6/8th block and made from three panels as the name suggests.
tile.rpcov5.*.1,Cover Slab,Coverslabs add the thickness of a slab and a panel (5/8th block crafted from a cover and a slab.
tile.rpcov3.*.1,Triplecover,The Triple Cover has thrice as thick as a cover (3/8th block and therefore made of three such covers.
tile.rpcov7s.*.1,Anticover Strip,"Like the power of two small blocks, the new sizes can also be cut into strips.
These strips cannot, however, be glued back together, so beware."
tile.rpcov6s.*.1,Triple Panel Strip,"Like the power of two small blocks, the new sizes can also be cut into strips.
These strips cannot, however, be glued back together, so beware."
tile.rpcov5s.*.1,Cover Slab Strip,"Like the power of two small blocks, the new sizes can also be cut into strips.
These strips cannot, however, be glued back together, so beware."
tile.rpcov3s.*.1,Triple Cover Strip,"Like the power of two small blocks, the new sizes can also be cut into strips.
These strips cannot, however, be glued back together, so beware."
tile.rpcov7c.*.1,Anticover Corner,"Like the power of two small blocks, the new sizes: slabs can also be cut into corners.
Like their strips, these corners can not be glued back together, so beware."
tile.rpcov6c.*.1,Triple Panel Corner,"Like the power of two small blocks, the new sizes: slabs can also be cut into corners.
Like their strips, these corners can not be glued back together, so beware."
tile.rpcov5c.*.1,Cover Slab Corner,"Like the power of two small blocks, the new sizes: slabs can also be cut into corners.
Like their strips, these corners can not be glued back together, so beware."
tile.rpcov3c.*.1,Triple Cover Corner,"Like the power of two small blocks, the new sizes: slabs can also be cut into corners.
Like their strips, these corners can not be glued back together, so beware."
tile.rppole3.*.1, Column,"Unlike the other small blocks you can craft, Columns, Pillars and Posts will be placed in the middle of a surface. Other small blocks can only be placed on sides or corners. Craft them from Strips of Triple Panels, Slabs or Panels simply by placing them into the crafting area. You can just as easily revert them to strips."
tile.rppole2.*.1,Pillar,"Unlike the other small blocks you can craft, Columns, Pillars and Posts will be placed in the middle of a surface. Other small blocks can only be placed on sides or corners. Craft them from Strips of Triple Panels, Slabs or Panels simply by placing them into the crafting area. You can just as easily revert them to strips."
tile.rppole1.*.1,Post,"Unlike the other small blocks you can craft, Columns, Pillars and Posts will be placed in the middle of a surface. Other small blocks can only be placed on sides or corners. Craft them from Strips of Triple Panels, Slabs or Panels simply by placing them into the crafting area. You can just as easily revert them to strips."
tile.rppans.*.1,Panel Strip,"Unlike the other small blocks you can craft, Columns, Pillars and Posts will be placed in the middle of a surface. Other small blocks can only be placed on sides or corners. Craft them from Strips of Triple Panels, Slabs or Panels simply by placing them into the crafting area. You can just as easily revert them to strips."
tile.rpcov6s.*.1,Triple Panel Strip,"Unlike the other small blocks you can craft, Columns, Pillars and Posts will be placed in the middle of a surface. Other small blocks can only be placed on sides or corners. Craft them from Strips of Triple Panels, Slabs or Panels simply by placing them into the crafting area. You can just as easily revert them to strips."
tile.rphcov7.*.1,Hollow Anticover,Arranging 8 vertically sliced blockpieces in this pattern will give you 8 hollow pieces of the same thickness. Those are used if you want tubes or a jacketed wire to go through a wall without leaving a big gap.
tile.rphcov6.*.1,Hollow Triple Panel,Arranging 8 vertically sliced blockpieces in this pattern will give you 8 hollow pieces of the same thickness. Those are used if you want tubes or a jacketed wire to go through a wall without leaving a big gap.
tile.rphcov5.*.1,Hollow Cover Slab,Arranging 8 vertically sliced blockpieces in this pattern will give you 8 hollow pieces of the same thickness. Those are used if you want tubes or a jacketed wire to go through a wall without leaving a big gap.
tile.rphcov3.*.1,Hollow Triple Cover,Arranging 8 vertically sliced blockpieces in this pattern will give you 8 hollow pieces of the same thickness. Those are used if you want tubes or a jacketed wire to go through a wall without leaving a big gap.
tile.rphslab.*.1,Hollow Slab,Arranging 8 vertically sliced blockpieces in this pattern will give you 8 hollow pieces of the same thickness. Those are used if you want tubes or a jacketed wire to go through a wall without leaving a big gap.
tile.rphpanel.*.1,Hollow Panel,Arranging 8 vertically sliced blockpieces in this pattern will give you 8 hollow pieces of the same thickness. Those are used if you want tubes or a jacketed wire to go through a wall without leaving a big gap.
tile.rphcover.*.1,Hollow Cover,Arranging 8 vertically sliced blockpieces in this pattern will give you 8 hollow pieces of the same thickness. Those are used if you want tubes or a jacketed wire to go through a wall without leaving a big gap.

,Credits:,"Narzuhl, Blueblade11 (Editing), mrkingster (typing all the description), TheEnlightened (typing titles), Oswarlan(Various things)"

,Version:,RPpr4 v1.0.0 [updating]

,,"Tags: [completed, in conversion, updating]"

Key:,Red - NOT WORKING
,"Yellow - Hard Coded to a specific value, may break with a RP update"
,"Not Working, but prefered"
,Description with expiration date
